####eBayCatName, eBayCatId, CatIndex
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Unisex Clothing:Sleepwear	175656	534
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Unisex Clothing:Socks	175697	153
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Unisex Clothing:Sweaters	175657	535
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Unisex Clothing:Sweatshirts & Hoodies	155200	269
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Unisex Clothing:Swimwear	175653	531
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Unisex Clothing:Tops & T-Shirts	155199	214
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Unisex Clothing:Uniforms	175652	530
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Unisex Shoes	155202	271
Clothing, Shoes & Accessories:Men's Accessories:Backpacks, Bags & Briefcases	52357	107
Clothing, Shoes & Accessories:Men's Accessories:Belt Buckles	86647	310
Clothing, Shoes & Accessories:Men's Accessories:Belts	2993	440
Clothing, Shoes & Accessories:Men's Accessories:Canes & Walking Sticks	152537	374
Clothing, Shoes & Accessories:Men's Accessories:Collar Tips	177649	193
Clothing, Shoes & Accessories:Men's Accessories:Gloves & Mittens	2994	441
Clothing, Shoes & Accessories:Men's Accessories:Handkerchiefs	167902	95
Clothing, Shoes & Accessories:Men's Accessories:Hats	52365	281
Clothing, Shoes & Accessories:Men's Accessories:ID & Document Holders:Business & Credit Card Cases	105860	71
Clothing, Shoes & Accessories:Men's Accessories:ID & Document Holders:Checkbook Holders	105408	149
Clothing, Shoes & Accessories:Men's Accessories:ID & Document Holders:ID & Badge Holders	163582	258
Clothing, Shoes & Accessories:Men's Accessories:ID & Document Holders:Other Men's ID & Doc Holders	169272	204
Clothing, Shoes & Accessories:Men's Accessories:ID & Document Holders:Passport Holders	163584	256
Clothing, Shoes & Accessories:Men's Accessories:Key Chains, Rings & Cases	52373	443
Clothing, Shoes & Accessories:Men's Accessories:Mixed Items & Lots	175627	431
Clothing, Shoes & Accessories:Men's Accessories:Money Clips	163583	257
Clothing, Shoes & Accessories:Men's Accessories:Organizers & Day Planners	15665	111
Clothing, Shoes & Accessories:Men's Accessories:Other Men's Accessories	1060	21
Clothing, Shoes & Accessories:Men's Accessories:Scarves	52382	437
Clothing, Shoes & Accessories:Men's Accessories:Sunglasses & Fashion Eyewear:Eyewear Accessories	179241	331
Clothing, Shoes & Accessories:Men's Accessories:Sunglasses & Fashion Eyewear:Fashion Eyewear/Clear Glasses	179240	335
Clothing, Shoes & Accessories:Men's Accessories:Sunglasses & Fashion Eyewear:Other Men's Eyewear	179242	332
Clothing, Shoes & Accessories:Men's Accessories:Sunglasses & Fashion Eyewear:Sunglass Lens Replacements	179194	240
Clothing, Shoes & Accessories:Men's Accessories:Sunglasses & Fashion Eyewear:Sunglasses	79720	39
Clothing, Shoes & Accessories:Men's Accessories:Suspenders, Braces	105387	190
Clothing, Shoes & Accessories:Men's Accessories:Ties	15662	110
Clothing, Shoes & Accessories:Men's Accessories:Umbrellas	90634	311
Clothing, Shoes & Accessories:Men's Accessories:Wallets	2996	442
Clothing, Shoes & Accessories:Men's Accessories:Wristbands	106113	319
Clothing, Shoes & Accessories:Men's Clothing:Athletic Apparel	137084	78
